                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    170,                0.00092,                    0.7,                      1,                 1.3345,             0.00012024,             0.00012024,             0.00012024
                    171,                0.00092,                    0.7,                      1,                 1.3345,              0.0001167,              0.0001167,              0.0001167
                    172,                0.00092,                    0.7,                      1,                 1.3344,             0.00011317,             0.00011317,             0.00011317
                    173,                0.00091,                    0.7,                      1,                 1.3344,             0.00010963,             0.00010963,             0.00010963
                    174,                0.00091,                    0.7,                      1,                 1.3344,              0.0001061,              0.0001061,              0.0001061
                    175,                0.00091,                    0.7,                      1,                 1.3344,             0.00010257,             0.00010257,             0.00010257
                    176,                0.00091,                    0.7,                      1,                 1.3343,             9.9032e-05,             9.9032e-05,             9.9032e-05
                    177,                 0.0009,                    0.7,                      1,                 1.3343,             9.5498e-05,             9.5498e-05,             9.5498e-05
                    178,                 0.0009,                    0.7,                      1,                 1.3343,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    179,                 0.0009,                    0.7,                      1,                 1.3343,             8.8429e-05,             8.8429e-05,             8.8429e-05
                    180,                 0.0009,                    0.7,                      1,                 1.3342,             8.4895e-05,             8.4895e-05,             8.4895e-05
                    181,                 0.0009,                    0.7,                      1,                 1.3342,              8.136e-05,              8.136e-05,              8.136e-05
                    182,                 0.0009,                    0.7,                      1,                 1.3342,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    183,                 0.0009,                    0.7,                      1,                 1.3342,             7.4292e-05,             7.4292e-05,             7.4292e-05
                    184,                 0.0009,                    0.7,                      1,                 1.3342,             7.0757e-05,             7.0757e-05,             7.0757e-05
                    185,                 0.0009,                    0.7,                      1,                 1.3342,             6.7223e-05,             6.7223e-05,             6.7223e-05
                    186,                 0.0009,                    0.7,                      1,                 1.3342,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    187,                 0.0009,                    0.7,                      1,                 1.3342,             6.0154e-05,             6.0154e-05,             6.0154e-05
